Site	Date	DIC (mg/L)	DOC (mg/L)
C20	2008-02-13	3.11	6.27
C20	2008-03-12	6.06	8.23
C20	2008-04-02	4.99	9.28
C20	2008-04-18	4.39	11.17
C20	2008-04-24	5.37	18.78
C20	2008-04-28	4.24	19.48
C20	2008-05-01	2.52	14.45
C20	2008-05-06	1.98	9.96
C20	2008-05-08	2.12	9.16
C20	2008-05-12	2.28	8.50
C20	2008-05-19	2.23	6.62
C20	2008-06-02	3.19	6.72
C20	2008-06-16	3.29	9.93
C20	2008-07-01	4.40	7.47
C20	2008-07-15	4.46	6.73
C20	2008-07-29	4.30	8.48
C20	2008-08-13	3.15	15.84
C20	2008-08-26	4.21	9.15
C20	2008-09-09	4.43	9.10
C20	2008-09-29	4.77	7.36
C20	2008-10-11	4.86	15.82
C20	2008-10-26	4.16	12.16
C20	2008-11-08	4.08	6.85
C20	2008-12-09	4.59	6.16
C20	2009-01-08	5.94	3.91
C20	2009-02-12	5.58	6.01
C20	2009-03-12	2.75	5.91
C20	2009-04-07	0.23	8.01
C20	2009-04-14	0.04	
C20	2009-04-20	5.94	16.34
C20	2009-04-24	7.81	17.85
C20	2009-04-27	3.31	18.01
C20	2009-04-29	3.54	13.19
C20	2009-05-04	3.36	12.99
C20	2009-05-05	3.22	
C20	2009-05-08	3.80	10.13
C20	2009-05-13	3.12	8.19
C20	2009-05-27	3.63	8.57
C20	2009-06-09	3.67	6.26
C20	2009-06-26	4.13	5.64
C20	2009-07-08	3.72	26.68
C20	2009-07-20	4.41	9.13
C20	2009-08-04	4.19	17.62
C20	2009-08-19	4.67	11.33
C20	2009-09-01	4.68	9.76
C20	2009-09-15	5.40	9.95
C20	2009-10-06	4.84	
C20	2009-10-20	4.14	
C20	2009-11-03	4.11	
C20	2009-11-24	3.70	
C20	2009-12-15	3.63	
C20	2010-08-31	3.67	8.61
C20	2010-09-28	1.90	11.00
C20	2010-10-10	3.43	0.85
C20	2010-10-26	3.02	8.43
C20	2010-11-09	4.35	6.43
C20	2011-01-18	4.67	6.17
C20	2011-02-21	5.75	9.94
C20	2011-03-21	6.23	10.90
C20	2011-04-04	8.55	17.57
C20	2011-04-11	1.33	43.92
C20	2011-04-14	9.66	58.40
C20	2011-04-18	3.42	18.49
C20	2011-04-21	3.44	14.76
C20	2011-04-25	3.24	11.12
C20	2011-05-02	2.77	8.30
C20	2011-05-09	2.84	8.24
C20	2011-05-23	2.67	10.65
C20	2011-06-07	2.89	10.04
C20	2011-06-21	3.20	9.14
C20	2011-07-04	3.42	8.76
C20	2011-07-18	3.70	8.36
C20	2011-08-02	4.07	7.53
C20	2011-08-15	5.89	9.47
C20	2011-08-31	4.53	26.19
C20	2011-09-13	4.62	30.12
C20	2011-09-28	3.43	16.25
C20	2011-10-10	3.60	14.74
C20	2011-10-25	3.27	9.44
C20	2011-11-08	2.92	9.39
C20	2011-11-28	3.27	6.40
C20	2011-12-21	3.10	8.46
C20	2012-01-19	2.65	5.83
C20	2012-02-14	4.13	5.71
C20	2012-03-27	6.16	14.47
C20	2012-04-02	4.42	17.21
C20	2012-04-10	3.63	9.77
C20	2012-04-17	4.15	13.63
C20	2012-04-26	5.70	19.94
C20	2012-04-30	3.24	13.93
C20	2012-05-03	2.44	10.66
C20	2012-05-07	2.36	10.70
C20	2012-05-10	2.42	9.62
C20	2012-05-14	1.89	8.73
C20	2012-05-18	2.05	
C20	2012-05-22	3.99	8.05
C20	2012-06-05	2.52	10.71
C20	2012-06-19	3.02	8.74
C20	2012-07-03	3.12	14.80
C20	2012-07-17	3.86	16.91
C20	2012-07-31	3.83	8.93
C20	2012-08-14	4.41	8.99
C20	2012-08-28	3.80	38.41
C20	2012-09-11	3.87	10.12
C20	2012-09-25	3.92	9.55
C20	2012-10-10	3.07	12.09
C20	2012-10-24	3.03	8.26
C20	2012-11-21	2.71	6.18
C20	2012-12-18	3.23	4.75
C20	2013-01-22	4.26	5.08
C20	2013-02-20	4.46	6.31
C20	2013-04-17	7.04	15.74
C20	2013-04-24	3.01	13.69
C20	2013-04-29	2.66	8.49
C20	2013-05-06	2.47	6.46
C20	2013-05-10	3.03	12.67
C20	2013-05-16	2.47	21.74
C20	2013-05-29	2.56	6.01
C20	2013-06-12	3.11	10.09
C20	2013-06-25	3.52	7.48
C20	2013-07-04	3.21	23.24
C20	2013-07-23	3.36	4.50
C20	2013-08-06	3.92	6.25
C20	2013-08-21	3.94	11.83
C20	2013-09-09	4.50	10.18
C20	2013-09-20	4.50	28.51
C20	2013-10-02	2.87	11.65
C20	2013-10-16	4.07	7.16
C20	2013-10-29	3.40	19.90
C20	2013-11-20	3.15	6.16
C20	2013-12-17	3.59	6.71
C20	2014-01-27	3.99	3.45
C20	2014-02-25	4.41	6.18
C20	2014-03-25	4.94	7.94
C20	2014-04-14	4.54	12.49
C20	2014-04-22	4.35	11.74
C20	2014-04-29	3.50	
C20	2014-05-05	3.41	6.13
C20	2014-05-13	3.62	9.13
C20	2014-05-27	3.82	
C20	2014-06-10	3.05	13.13
C20	2014-06-24	2.92	9.52
C20	2014-07-08	4.03	6.34
C20	2014-07-22	4.03	11.79
C20	2014-08-05	5.03	7.07
C20	2014-08-19	3.75	22.14
C20	2014-09-02	3.51	8.18
C20	2014-09-16	3.90	5.19
C20	2014-09-29	3.62	6.60
C20	2014-10-28	3.04	16.18
C20	2014-11-18	2.83	5.78
C20	2014-12-16	2.97	9.22
C20	2015-02-17	4.22	6.32
C20	2015-03-17	4.77	8.30
C20	2015-03-31	5.26	8.42
C20	2015-04-09	4.61	13.68
C20	2015-04-14	3.64	17.86
C20	2015-04-17	4.00	15.74
C20	2015-04-21	3.07	10.68
C20	2015-04-24	3.01	9.25
C20	2015-04-27	2.98	9.39
C20	2015-04-30	3.10	7.63
C20	2015-05-05	2.92	7.04
C20	2015-05-07	3.40	11.19
C20	2015-05-12	3.04	8.88
C20	2015-05-19	2.95	8.89
C20	2015-06-02	2.84	12.31
C20	2015-06-16	2.85	6.35
C20	2015-06-30	2.94	11.58
C20	2015-07-14	3.61	
C20	2015-07-31	3.61	16.18
C20	2015-08-11	3.77	7.51
C20	2015-08-25	4.08	4.75
C20	2015-09-07	3.98	5.83
C20	2015-09-22	4.02	16.98
C20	2015-10-06	4.43	7.97
C20	2015-10-20	4.20	5.79
C20	2015-11-03	4.00	6.44
C20	2015-11-24	6.16	7.54
C20	2015-12-15	5.93	3.96
C20	2016-02-15	4.81	
C20	2016-03-30	8.14	13.46
C20	2016-04-12	5.14	15.98
C20	2016-04-18	4.11	12.49
C20	2016-04-20	3.80	10.79
C20	2016-04-28	4.40	13.01
C20	2016-05-02	3.00	8.40
C20	2016-05-04	2.74	7.90
C20	2016-05-09	2.72	9.49
C20	2016-05-12	2.86	7.92
C20	2016-05-17	2.74	8.79
C20	2016-05-31	3.23	8.29
C20	2016-06-14	3.21	4.70
C20	2016-06-29	3.38	14.42
C20	2016-07-12	3.73	9.14
C20	2016-07-26	4.23	5.87
C20	2016-08-09	4.24	8.24
C20	2016-08-23	3.85	20.45
C20	2016-09-20	5.10	6.27
C20	2016-10-05	4.44	12.36
C20	2016-10-18	4.31	7.04
C20	2016-10-31	4.61	6.09
C20	2017-04-04	6.32	8.65
C20	2017-04-11	5.58	21.99
C20	2017-04-18	5.93	11.71
C20	2017-04-25	4.72	18.00
C20	2017-05-02	4.70	15.98
C20	2017-05-05	3.15	16.40
C20	2017-05-09	3.01	8.72
C20	2017-05-18	3.10	8.57
C20	2017-05-23	2.85	12.32
C20	2017-06-13	3.00	7.58
C20	2017-06-27	3.12	14.80
C20	2017-07-11	3.71	8.36
C20	2017-08-08	4.21	10.33
C20	2017-08-22	4.26	11.49
C20	2017-09-08	4.71	7.63
C20	2017-09-21	3.76	14.45
C20	2017-10-04	3.38	32.06
C20	2018-01-15	3.48	5.25
C20	2018-02-13	3.79	5.71
C20	2018-03-15	4.52	6.65
C20	2018-04-03	4.36	6.39
C20	2018-04-17	5.63	48.21
C20	2018-04-24	4.44	19.92
C20	2018-04-27	3.62	14.37
C20	2018-04-30	3.10	11.67
C20	2018-05-04	2.88	12.55
C20	2018-05-07	2.43	9.25
C20	2018-05-09	2.57	8.44
C20	2018-05-15	2.55	8.38
C20	2018-05-29	2.95	5.35
C20	2018-06-12	3.45	4.25
C20	2018-06-28	3.97	5.33
C20	2018-08-21	3.73	4.99
C20	2018-09-05	4.21	6.89
C20	2018-09-18	4.39	6.89
C20	2018-10-02	4.55	8.71
C20	2018-10-16	4.28	10.11
C20	2018-10-30	5.37	4.72
C20	2018-11-13	3.20	24.63
C20	2018-11-27	5.24	2.22
C20	2018-12-11	3.48	12.66
C20	2019-02-20	4.76	4.93
C20	2019-03-21	5.52	6.59
C20	2019-05-14	2.99	11.97
C20	2019-06-18	3.27	
